id,date,amount,remark,category,expense_type
54,10-08-2021,2223,090821NBT00276 @ 88.92CORRBANKCHGS,NECESSARY,MINOR
55,10-08-2021,651,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-122208667650-UPI,NECESSARY,MINOR
56,10-08-2021,480,HJUPQUYENBIPYG/RAZPSWIGGY,FOOD,MINOR
57,10-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-122208278920-UPI,FOOD,MINOR
58,10-08-2021,45,CVC2222230925552 GSTCHG 090821NBT00276-CVC2222230925552,NECESSARY,MINOR
59,11-08-2021,1000,RFX 110821NBT00373 COMMISSION,NECESSARY,MINOR
60,11-08-2021,400,50100190444218-TPT-TRANSFER REMAINING-MEGHANA MOHAN,NECESSARY,MINOR
61,11-08-2021,90,110821NBT00373 DPO2222333851553 CGST COM,NECESSARY,MINOR
62,11-08-2021,90,110821NBT00373 DPO2222333851553 SGST COM,NECESSARY,MINOR
63,11-08-2021,55,UPI-UDUPI VAIBHAV-PAYTM-64853293@PAYTM-PYTM0123456-122319920631-OID202108110910460,FOOD,MINOR
64,11-08-2021,39.18,110821NBT00373 DPO2222333817580 CGST,NECESSARY,MINOR
65,11-08-2021,39.18,110821NBT00373 DPO2222333817580 SGST,NECESSARY,MINOR
66,11-08-2021,10,UPI-UDUPI VAIBHAV-PAYTM-64853293@PAYTM-PYTM0123456-122320309676-OID202108110924480,FOOD,MINOR
67,12-07-2021,1097,POS 435584XXXXXX0258 DECATHLON SPORTS,SHOPPING,MINOR
68,12-07-2021,399,HY04BNJGJGQGA2/RAZPUPGRAD,NECESSARY,MINOR
69,12-08-2021,2220.25,110821NBT00373 @ 88.81CORRBANKCHGS,NECESSARY,MINOR
70,12-08-2021,1000,UPI-J K FUEL STATION-PAYTM-60767057@PAYTM-PYTM0123456-122454519016-OID202108120907450,TRAVEL,MINOR
71,12-08-2021,150,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-122433152583-UPI,SHOPPING,MINOR
72,12-08-2021,45,CVC2222434833393 GSTCHG 110821NBT00373-CVC2222434833393,NECESSARY,MINOR
73,12-08-2021,0,UPI-PAYTM-PAYOUTS-8725913@PAYTM-PYTM0123456-122454542351-FUEL PAYMENT AT HP,TRAVEL,MINOR
74,13-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-122550860822-UPI,FOOD,MINOR
75,14-07-2021,200,HYHZPATQX8RMVN/RAZPHYPERPUREZOMATO,FOOD,MINOR
76,14-08-2021,400,UPI-MR KAMESHWARAN M-KAMESHKAVI588@OKAXIS-IDIB000U008-122665758262-DRAGON BOAT SHIRT,NECESSARY,MINOR
77,14-08-2021,230,UPI-BHARATPE MERCHANT-BHARATPE.9052111397@FBPE-FDRL0001382-122665524424-VERIFIED MERCHANT,FOOD,MINOR
78,14-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-122665778145-UPI,FOOD,MINOR
79,15-07-2021,1603.63,POS 435584XXXXXX0258 ARVIND LIFESTYLE,SHOPPING,MINOR
80,15-07-2021,614,HZFBINHUNM6KXB/RAZPSWIGGY,FOOD,MINOR
81,15-07-2021,495,POS 435584******0258 DT-10/07/21 IC21071,OTHER,MINOR
82,15-07-2021,487,UPI-SHARDAMMA STORE-GPAY-11173043326@OKBIZAXIS-UTIB0000000-119608176677-UBER,TRAVEL,MINOR
83,15-07-2021,314,POS 435584XXXXXX0258 MC DONALDS,FOOD,MINOR
84,16-07-2021,3000,UPI-M AMARTYA VARDHAN-AMARTYA2606@OKHDFCBANK-HDFC0000523-119711103837-BIRTHDAY,NECESSARY,MINOR
85,16-08-2021,375,20210816194107103263/PAYTMSWIGGYCOM,FOOD,MINOR
86,16-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-122882378034-ROLL,FOOD,MINOR
87,16-08-2021,50,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-122882452712-UPI,FOOD,MINOR
88,17-08-2021,509,HMF37ZEK2ZDWNJ/RAZPSWIGGY,FOOD,MINOR
89,18-07-2021,5266,UPI-PRANAV MATHUR-PRANAVMATHUR05@OKHDFCBANK-HDFC0000514-119937040185-UPI,OUTING,MINOR
90,18-07-2021,350,UPI-PRANAV MATHUR-PRANAVMATHUR05@OKHDFCBANK-HDFC0000514-119938621059-KABINI FOOD PT 2,OUTING,MINOR
91,18-07-2021,180,UPI-PRANAV MATHUR-PRANAVMATHUR05@OKHDFCBANK-HDFC0000514-119937710570-CCD COFFEE,OUTING,MINOR
92,18-08-2021,1500,UPI-XXXXXX2356-UTIB0000734-123082501666-NA,OTHER,MINOR
93,18-08-2021,885,DEPOSITORY CHARGES JUL21 - 59112488,NECESSARY,MINOR
94,18-08-2021,240,UPI-AL AMANAH CAFE-PAYTMQR281005050101OBEKV9J7BTOH@PAYTM-PYTM0123456-123011421283-ASDF,FOOD,MINOR
95,18-08-2021,100,KQRHK5MPBN4KPPOXDY/PAYUBMRC,TRAVEL,MINOR
96,18-08-2021,100,UPI-TWO WHEELERS VEHICLE-PAYTMQR281005050101JCDKDO5WMOSP@PAYTM-PYTM0123456-123011130785-PAY PARK,TRAVEL,MINOR
97,18-08-2021,100,UPI-AL AMANAH CAFE-PAYTMQR281005050101OBEKV9J7BTOH@PAYTM-PYTM0123456-123011458600-UPI,FOOD,MINOR
98,19-07-2021,1380.31,UPI-ACT BROADBAND-PAYTM-ACTBAN4@PAYTM-PYTM0123456-120045537575-UPI,NECESSARY,MINOR
99,19-08-2021,249,POS 435584XXXXXX0258 AMAZON,SHOPPING,MINOR
100,20-07-2021,193,UPI-PURPLE PUNCH-Q49108464@YBL-YESB0YBLUPI-120112954271-NA,FOOD,MINOR
101,20-07-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-120159598163-SNACKSS,FOOD,MINOR
102,20-08-2021,1000,ATW-435584XXXXXX0258-S1ANBK94-BANGALORE,OTHER,MINOR
103,20-08-2021,10,UPI-RAGHU R-GPAY-11173688672@OKBIZAXIS-UTIB0000000-123228821328-COFFEE,FOOD,MINOR
104,21-08-2021,651,HNMZTXAUEBH65F/RAZPSWIGGY,NECESSARY,MINOR
105,21-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-123347669030-ASDF,FOOD,MINOR
106,22-07-2021,605.02,HBSOFPZ3PC3JWQ/RAZPHYPERPUREZOMATO,FOOD,MINOR
107,22-08-2021,501,UPI-MEGHANA MOHAN-9535597858@PAYTM-HDFC0002047-123404987125-NA,SHOPPING,MINOR
108,23-07-2021,1024,POS 435584XXXXXX0258 AMAZON,SHOPPING,MINOR
109,23-07-2021,17.7,INST-ALERT CHG INC GST APR-JUN2021-MIR2120093005573,OTHER,MINOR
110,23-08-2021,1000,UPI-J K FUEL STATION-PAYTMQR281005050101ONI7UU4VURYC@PAYTM-PYTM0123456-123564214555-PETROL,TRAVEL,MINOR
111,23-08-2021,1000,UPI-J K FUEL STATION-PAYTMQR281005050101ONI7UU4VURYC@PAYTM-PYTM0123456-123564214555-PETROL,TRAVEL,MINOR
112,23-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-123572075086-UPI,FOOD,MINOR
113,23-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-123572075086-UPI,FOOD,MINOR
114,23-08-2021,40,UPI-K AND K SERVICES-PAYTMQR281005050101DBW79N85MJ9D@PAYTM-PYTM0123456-123566895232-LUNCH,FOOD,MINOR
115,23-08-2021,40,UPI-K AND K SERVICES-PAYTMQR281005050101DBW79N85MJ9D@PAYTM-PYTM0123456-123566895232-LUNCH,FOOD,MINOR
116,23-08-2021,25,UPI-SPOTIFY INDIA PRIVAT-BILLDESKPG.SPOTIFYINDIA@HDFCBANK-HDFC0000499-123566046924-PREMIUM WEEK,ENTERTAINMENT,MINOR
117,23-08-2021,25,UPI-SPOTIFY INDIA PRIVAT-BILLDESKPG.SPOTIFYINDIA@HDFCBANK-HDFC0000499-123566040725-SPOTIFY,ENTERTAINMENT,MINOR
118,23-08-2021,25,UPI-SPOTIFY INDIA PRIVAT-BILLDESKPG.SPOTIFYINDIA@HDFCBANK-HDFC0000499-123566046924-PREMIUM WEEK,ENTERTAINMENT,MINOR
119,24-07-2021,1000,ATW-435584XXXXXX0258-S1ACBL15-BANGALORE,OUTING,MINOR
120,24-07-2021,655.68,UPI-RISHAAB P-RISHAABP@OKICICI-ICIC0000252-120500734706-21ST AMENDMENT LUN,OUTING,MINOR
121,24-07-2021,60,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-120503252636-VERIFIED MERCHANT,FOOD,MINOR
122,25-07-2021,340,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-120614194483-VERIFIED MERCHANT,NECESSARY,MINOR
123,25-07-2021,200,POS 435584XXXXXX0258 UDUPI VAIBHAV,FOOD,MINOR
124,25-07-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-120614801173-UPI,OTHER,MINOR
125,25-07-2021,90,UPI-SURENDRA PATEL-PAYTMQR281005050101N4Y79ALSQIO3@PAYTM-PYTM0123456-120614298660-BLUE BOOK,NECESSARY,MINOR
126,26-07-2021,23299,POS 435584XXXXXX0258 AMAZON,SHOPPING,MINOR
127,26-07-2021,1000,UPI-J K FUEL STATION-PAYTMQR2810050501011UXSLYZXT8MA@PAYTM-PYTM0123456-120726800923-PETROL HP,TRAVEL,MINOR
128,28-07-2021,2580,KQRHW4ELAVZ25NG2CY/PAYUMONEY,OTHER,MINOR
129,28-07-2021,598,UPI-EURONETGPAY-EURONETGPAY.PAY@ICICI-ICIC0000001-120942343685-UPI,OTHER,MINOR
130,28-07-2021,499,UPI-NETFLIX COM-NETFLIXUPI.PAYU@HDFCBANK-HDFC0000499-120946639173-MONTHLY AUTOPAY. C,ENTERTAINMENT,MINOR
131,29-07-2021,169,HEL6F9TWWPF7XU/RAZPSWIGGY,FOOD,MINOR
132,29-07-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-121060516397-HUNGGSS,OTHER,MINOR
133,31-07-2021,1565,POS 435584XXXXXX0258 HAMMERED HSR,FOOD,MINOR
134,31-07-2021,192,UPI-DMARTINDIA-DMARTINDIASOUTH@ICICI-ICIC0000001-121278367143-UPI,FOOD,MINOR
